idx,success,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
7294,True,8.007525158079712,5.272353947437232,8.747460539782868,16.799999999999972,5.056291370095917,20,True,7,evaluation_states_K7_n10000.csv
7295,True,10.692062035947906,4.6897608978782594,10.362726512218128,23.999999999999947,4.68759466469395,35,True,7,evaluation_states_K7_n10000.csv
7296,True,10.234535769063887,6.32593884912537,10.07537180308507,14.999999999999982,6.238760019579569,23,True,7,evaluation_states_K7_n10000.csv
7297,True,10.626853585791585,3.245795360885052,10.321468673887473,32.799999999999926,7.198109503487385,48,True,7,evaluation_states_K7_n10000.csv
7298,True,7.945453732544371,4.95603946310529,8.712131271847873,15.199999999999978,5.809609444491765,26,True,7,evaluation_states_K7_n10000.csv
7299,True,7.200580318959257,4.088176224794388,8.295287804809977,18.999999999999968,4.789065744160353,27,True,7,evaluation_states_K7_n10000.csv
7300,True,9.158490942836764,5.854593327439568,9.41908849563471,15.399999999999977,5.940267823331331,21,True,7,evaluation_states_K7_n10000.csv
7301,True,7.459985329151708,5.080167518517685,8.438964016476433,19.599999999999962,5.2952696280666025,18,True,7,evaluation_states_K7_n10000.csv
7302,True,9.591186209938625,3.7089566167554158,9.679694664410459,27.199999999999935,5.306271144015053,42,True,7,evaluation_states_K7_n10000.csv
7303,True,7.898510311506545,3.7233543039557797,8.685473022878899,26.39999999999994,4.923501512628178,29,True,7,evaluation_states_K7_n10000.csv
7304,True,10.681726961456995,5.334872962551758,10.356180723935378,18.599999999999966,6.7696224864467895,34,True,7,evaluation_states_K7_n10000.csv
7305,True,9.561126681722147,5.105826324332703,9.661446933782415,21.79999999999995,7.965066705500425,26,True,7,evaluation_states_K7_n10000.csv
7306,True,9.787771407249274,4.958763716832,9.799559879734527,19.399999999999967,4.817211651759702,36,True,7,evaluation_states_K7_n10000.csv
7307,True,9.906768881366895,5.454320223985867,9.872561665625028,19.999999999999964,7.19063841269306,26,True,7,evaluation_states_K7_n10000.csv
7308,True,8.808286520986748,5.714706838249425,9.21141176911392,16.399999999999977,6.353141213078824,20,True,7,evaluation_states_K7_n10000.csv
7309,True,7.5746276117332805,5.214312452676973,8.502968485317927,15.999999999999975,5.636205551399879,20,True,7,evaluation_states_K7_n10000.csv
7310,True,8.56418797984401,2.9849076787177125,9.068375190551226,28.999999999999925,5.483523019336009,45,True,7,evaluation_states_K7_n10000.csv
7311,True,10.736474711745098,5.3948326965913465,10.390884366584618,23.399999999999945,6.2925878507577035,28,True,7,evaluation_states_K7_n10000.csv
7312,True,7.110905909031569,4.70299732179988,8.24599064299578,15.59999999999998,4.661078390030229,24,True,7,evaluation_states_K7_n10000.csv
7313,True,8.62275441662408,5.389414277029101,9.10256522384991,16.199999999999978,6.325972552084821,24,True,7,evaluation_states_K7_n10000.csv
7314,True,10.73157980145616,5.152991172330393,10.387778679053802,21.999999999999947,7.116786747013742,33,True,7,evaluation_states_K7_n10000.csv
7315,True,9.008087065842814,3.6858677594884703,9.329540814392946,27.199999999999942,6.2507839547054305,35,True,7,evaluation_states_K7_n10000.csv
7316,True,7.82251752120694,4.287564987737475,8.642428824030477,19.999999999999975,6.08002695732644,30,True,7,evaluation_states_K7_n10000.csv
7317,True,8.388301631060195,5.3378326403272585,8.966184170915,20.19999999999996,5.2995296544391195,19,True,7,evaluation_states_K7_n10000.csv
7318,True,8.47676174183363,4.933248382292493,9.017488452064327,21.199999999999953,7.210984459312636,22,True,7,evaluation_states_K7_n10000.csv
7319,True,7.1258758322647076,4.438500215577351,8.254206892209709,18.19999999999997,6.091537074098067,23,True,7,evaluation_states_K7_n10000.csv
7320,True,7.8878895689249475,5.423896611602571,8.679448950292281,15.39999999999998,6.3148789807754255,19,True,7,evaluation_states_K7_n10000.csv
7321,True,8.129583596811488,5.249738631419153,8.817198800201535,17.79999999999997,6.78096096770061,20,True,7,evaluation_states_K7_n10000.csv
7322,True,7.829856410241285,5.824631123989378,8.646579786781118,14.199999999999982,6.78846123967464,15,True,7,evaluation_states_K7_n10000.csv
7323,True,9.78526604266716,4.0678950977312605,9.7980265095619,25.39999999999994,5.074270519870722,36,True,7,evaluation_states_K7_n10000.csv
7324,False,9.298663600364664,-3.0712446088120355,9.503026975128911,21.999999999999954,6.475155899182176,116,True,7,evaluation_states_K7_n10000.csv
7325,True,9.787541790434842,4.221717392221758,9.799419340078819,25.799999999999944,7.483419963531884,34,True,7,evaluation_states_K7_n10000.csv
